scenario,panel,model,thr_mode,threshold,best_combo,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
S1,KANSER,nn,f1_8020,0.51,"{'hidden': 128, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8575418994413407,0.9096296296296297,0.8110964332892999,0.7226169187959534,0.7899159663865546,0.8952380952380953,0.706766917293233,0.48643749572903655,0.5601811556641277,0.07028875356776153,0.3860795454545455,0.6666666666666666,193
S1,KANSER,nn,mcc_8020,0.45,"{'hidden': 128, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8853545394300861,0.8882978723404256,0.8824306472919419,0.7595575979787843,0.8515625,0.8861788617886179,0.8195488721804511,0.5643612621634807,0.5852981845353102,0.04531834619449438,0.5128205128205128,0.6511627906976745,193
S1,KANSER,dnn,f1_raw,0.4,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8728179551122195,0.8264462809917356,0.9247027741083224,0.7203028606867814,0.8702290076335878,0.8837209302325582,0.8571428571428571,0.5969081292661821,0.5964713826540259,0.037819253601157565,0.5082317073170732,0.6598484848484848,193
S1,KANSER,dnn,f1_8020,0.54,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8368080517613228,0.917981072555205,0.7688243064729194,0.6971414969910387,0.7739130434782608,0.9175257731958762,0.6691729323308271,0.4960377937603402,0.5980024806868849,0.07412094137779378,0.4256896551724138,0.7222222222222222,193
S1,KANSER,dnn,mcc_8020,0.54,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8368080517613228,0.917981072555205,0.7688243064729194,0.6971414969910387,0.7739130434782608,0.9175257731958762,0.6691729323308271,0.4960377937603402,0.5980024806868849,0.07412094137779378,0.4256896551724138,0.7222222222222222,193
S2,KANSER,lightgbm,f1_raw,0.36,,0.9904397705544933,1.0,0.9810606060606061,0.9704731741878194,0.9097472924187726,0.875,0.9473684210526315,0.6884520066159542,0.6000931236509404,0.024243084209976912,0.5652173913043478,0.625,193
S2,KANSER,lightgbm,f1_8020,0.36,,0.9904397705544933,1.0,0.9810606060606061,0.9704731741878194,0.9097472924187726,0.875,0.9473684210526315,0.6884520066159542,0.6000931236509404,0.024243084209976912,0.5652173913043478,0.625,193
S2,KANSER,lightgbm,mcc_8020,0.36,,0.9904397705544933,1.0,0.9810606060606061,0.9704731741878194,0.9097472924187726,0.875,0.9473684210526315,0.6884520066159542,0.6000931236509404,0.024243084209976912,0.5652173913043478,0.625,193
S2,KANSER,catboost,f1_raw,0.34,,0.9850746268656716,0.9705882352941176,1.0,0.9517785209496884,0.9020979020979021,0.8431372549019608,0.9699248120300752,0.6507936388076838,0.5418658280922432,0.01673398584808792,0.5,0.5555555555555556,193
S2,KANSER,catboost,f1_8020,0.66,,0.9787234042553191,1.0,0.9583333333333334,0.9369432188878083,0.8387096774193549,0.9043478260869565,0.7819548872180451,0.5646217114353836,0.628965644169752,0.05115355822707812,0.5142857142857142,0.7245731707317072,193
S2,KANSER,catboost,mcc_8020,0.66,,0.9787234042553191,1.0,0.9583333333333334,0.9369432188878083,0.8387096774193549,0.9043478260869565,0.7819548872180451,0.5646217114353836,0.628965644169752,0.05115355822707812,0.5142857142857142,0.7245731707317072,193
S2,KANSER,nn,f1_raw,0.46,"{'hidden': 128, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9323308270676691,0.9253731343283582,0.9393939393939394,0.7800499895803646,0.8754716981132076,0.8787878787878788,0.8721804511278195,0.6028004902228864,0.5885111243564473,0.039826814669231915,0.5238095238095238,0.6521739130434783,193
S2,KANSER,nn,f1_8020,0.65,"{'hidden': 128, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8245614035087719,0.9791666666666666,0.7121212121212122,0.6292532049656927,0.7574468085106383,0.8725490196078431,0.6691729323308271,0.4195708046665769,0.5237366298041372,0.07075418575544828,0.4,0.6341463414634146,193
S2,KANSER,nn,mcc_8020,0.65,"{'hidden': 128, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8245614035087719,0.9791666666666666,0.7121212121212122,0.6292532049656927,0.7574468085106383,0.8725490196078431,0.6691729323308271,0.4195708046665769,0.5237366298041372,0.07075418575544828,0.4,0.6341463414634146,193
S2,KANSER,dnn,f1_raw,0.26,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9228007181328546,0.8771331058020477,0.9734848484848485,0.7341180627498617,0.9110320284697508,0.8648648648648649,0.9624060150375939,0.6885970485113386,0.581047619047619,0.017921851013892858,0.5416666666666666,0.6,193
S2,KANSER,dnn,f1_8020,0.6,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.687960687960688,0.9790209790209791,0.5303030303030303,0.48447118234910136,0.6919431279620853,0.9358974358974359,0.5488721804511278,0.4390976885037577,0.5631934193602715,0.10255331695764601,0.34833333333333333,0.7409274193548386,193
S2,KANSER,dnn,mcc_8020,0.6,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.687960687960688,0.9790209790209791,0.5303030303030303,0.48447118234910136,0.6919431279620853,0.9358974358974359,0.5488721804511278,0.4390976885037577,0.5631934193602715,0.10255331695764601,0.34833333333333333,0.7409274193548386,193
S3,KANSER,nn,f1_raw,0.21,"{'hidden': 64, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9052631578947369,0.8431372549019608,0.9772727272727273,0.6650673260632348,0.903448275862069,0.8343949044585988,0.9849624060150376,0.6554619956972395,0.5293246753246753,0.01137039502164375,0.509090909090909,0.5357142857142857,193
S3,KANSER,nn,f1_8020,0.47,"{'hidden': 64, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.85,0.9444444444444444,0.7727272727272727,0.6285648694397381,0.8166666666666667,0.9158878504672897,0.7368421052631579,0.5464892176446736,0.6221111175104983,0.06853347225751166,0.5,0.7368421052631579,193
S3,KANSER,nn,mcc_8020,0.47,"{'hidden': 64, 'dropout': 0.5, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.85,0.9444444444444444,0.7727272727272727,0.6285648694397381,0.8166666666666667,0.9158878504672897,0.7368421052631579,0.5464892176446736,0.6221111175104983,0.06853347225751166,0.5,0.7368421052631579,193
