config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
dnn_no_fe_single_Hereditary_Cancer,dnn,no_fe,single_panel,Hereditary_Cancer,0.6299999999999997,0.6857142857142857,0.6734410538626564,572,143,530,0.7070707070707071,0.8710552268244576,0.6903206113124785,0.5929711565526157,0.5833333333333334,0.8974358974358975,0.7596153846153846,0.828525641025641,0.5624142661179699,179.85923862457275
dnn_no_fe_single_PAH,dnn,no_fe,single_panel,PAH,0.5099999999999998,0.5333333333333333,0.5394473475967533,259,65,530,0.5405405405405406,0.632034632034632,0.4296613951510836,0.2439366543689447,0.37735849056603776,0.9523809523809523,0.25,0.6011904761904762,0.14473684210526316,127.95099997520447
dnn_with_fe_multi_panel,dnn,with_fe,multi_panel,All,0.5499999999999998,0.6306818181818182,0.6413733548457184,3429,858,219,0.6324237560192616,0.8029509549045094,0.6312206380335385,0.43535421173797745,0.5644699140401146,0.718978102189781,0.7397260273972602,0.7293520647935205,0.427636753456342,1684.0659255981445
dnn_with_fe_single_General,dnn,with_fe,single_panel,General,0.47999999999999976,0.6083650190114068,0.628207687238861,2524,632,215,0.6159554730983302,0.772551780789767,0.5274791857083769,0.4117426086036454,0.48255813953488375,0.8512820512820513,0.5926773455377574,0.7219796984099043,0.36643291619852003,1539.5380017757416
dnn_with_fe_single_Hereditary_Cancer,dnn,with_fe,single_panel,Hereditary_Cancer,0.6399999999999997,0.6966292134831461,0.686433424276467,572,143,215,0.7126436781609196,0.8323471400394478,0.6404337289530965,0.5954950886319679,0.6458333333333334,0.7948717948717948,0.8365384615384616,0.8157051282051282,0.5889387144992526,245.79085540771484
dnn_with_fe_single_PAH,dnn,with_fe,single_panel,PAH,0.5099999999999998,0.5769230769230769,0.5945558407918776,259,65,215,0.5882352941176471,0.7012987012987013,0.47382892870933313,0.3502583197270743,0.5,0.7142857142857143,0.6590909090909091,0.6866883116883117,0.33576642335766416,144.7250039577484
dnn_clean_multi_panel,dnn,clean,multi_panel,All,0.4999999999999998,0.547085201793722,0.5458604850729575,3429,858,1056,0.547085201793722,0.695486701329867,0.501830876396723,0.2597739038487507,0.3948220064724919,0.8905109489051095,0.3595890410958904,0.6250499950005,0.1875914051074361,1444.6395149230957
dnn_clean_single_General,dnn,clean,single_panel,General,0.4999999999999998,0.5213414634146342,0.5286685265305967,2524,632,1052,0.5213414634146342,0.656351581294373,0.4542749202667328,0.22177657141656143,0.37093275488069416,0.8769230769230769,0.33638443935926776,0.6066537581411724,0.15482832343847153,1842.9451134204865
dnn_clean_single_Hereditary_Cancer,dnn,clean,single_panel,Hereditary_Cancer,0.5099999999999998,0.5365853658536586,0.5386996014194527,572,143,1052,0.5432098765432098,0.6908284023668638,0.4847417027214988,0.3635524169815574,0.5238095238095238,0.5641025641025641,0.8076923076923077,0.6858974358974359,0.36306729264475746,272.5152611732483
dnn_clean_single_PAH,dnn,clean,single_panel,PAH,0.4999999999999998,0.5263157894736842,0.5399806724264758,259,65,1052,0.5263157894736842,0.5963203463203464,0.48214374903644036,0.22297587656198675,0.4166666666666667,0.7142857142857143,0.5227272727272727,0.6185064935064934,0.19972640218878246,136.34458351135254
dnn_clean_fe_multi_panel,dnn,clean_fe,multi_panel,All,0.5299999999999998,0.559652928416486,0.5548550061675769,3429,858,1499,0.5617128463476071,0.6823567643235676,0.4827937594889518,0.2913120176296437,0.4288461538461538,0.8138686131386861,0.4914383561643836,0.6526534846515348,0.24655557013515284,2226.359875679016
dnn_clean_fe_single_General,dnn,clean_fe,single_panel,General,0.47999999999999976,0.5088,0.5308979948237674,2524,632,1495,0.5250379362670713,0.6516341019773514,0.43296055753575396,0.23135448027509647,0.3728448275862069,0.8871794871794871,0.3340961098398169,0.610637798509652,0.16011684385720604,1557.8842253684998
dnn_clean_fe_single_Hereditary_Cancer,dnn,clean_fe,single_panel,Hereditary_Cancer,0.8499999999999996,0.5691056910569106,0.5681905635332116,572,143,1495,0.6046511627906976,0.7810650887573964,0.5472039316196794,0.4406338284832232,0.5531914893617021,0.6666666666666666,0.7980769230769231,0.7323717948717949,0.4367469879518072,289.8756082057953
dnn_clean_fe_single_PAH,dnn,clean_fe,single_panel,PAH,0.4999999999999998,0.547945205479452,0.533947370471671,259,65,1495,0.547945205479452,0.6482683982683982,0.5593860397190378,0.2631806779839076,0.38461538461538464,0.9523809523809523,0.2727272727272727,0.6125541125541125,0.1624365482233504,102.96037364006042
