fe_mode,panel,model,thr_mode,threshold,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
no_fe,KANSER,nn_ft,f1_8020,0.45,0.7948350071736011,0.869701726844584,0.7318361955085865,0.614088485358845,0.8446215139442231,0.8983050847457628,0.7969924812030075,0.5668898377873501,0.5991029783884122,0.06193087081080952,0.4667857142857143,0.6829268292682927,193
no_fe,KANSER,nn_ft,mcc_8020,0.49,0.7629179331306991,0.8980322003577818,0.6631439894319683,0.5944074933117436,0.8235294117647058,0.9333333333333333,0.7368421052631579,0.5763416725791243,0.6557755717785816,0.07832459556677261,0.4827586206896552,0.7699206349206349,193
no_fe,KANSER,dnn_ft,f1_raw,0.39,0.8028169014084507,0.7222808870116156,0.9035667107001321,0.5465196250194758,0.9045936395759717,0.8533333333333334,0.9624060150375939,0.6626403449011823,0.5605814387293379,0.020598299017791026,0.52,0.5769230769230769,193
no_fe,KANSER,dnn_ft,f1_8020,0.47,0.7605432451751251,0.8286604361370716,0.702774108322325,0.5447940488216653,0.8433734939759037,0.9051724137931034,0.7894736842105263,0.5729283126663016,0.6221060185270711,0.05649256301207615,0.5142857142857142,0.7,193
no_fe,KANSER,dnn_ft,mcc_8020,0.49,0.7212863705972435,0.8579234972677595,0.6221928665785997,0.5227838410429388,0.8117154811715481,0.9150943396226415,0.7293233082706767,0.5389021159549416,0.615752001490142,0.06891518142353867,0.5,0.7027027027027027,193
no_fe,KANSER,stack_lr,f1_raw,0.44,0.842985842985843,0.821831869510665,0.8652575957727873,0.6608191108548026,0.917910447761194,0.9111111111111111,0.924812030075188,0.7317217385565573,0.684895202358617,0.02823698640958046,0.6153846153846154,0.7142857142857143,193
no_fe,KANSER,stack_lr,f1_8020,0.58,0.8228730822873083,0.8714918759231906,0.7793923381770145,0.6527880061646343,0.888030888030888,0.9126984126984127,0.8646616541353384,0.6624227105506495,0.6654965594606159,0.039737213636694614,0.5945945945945946,0.7317073170731707,193
no_fe,KANSER,stack_lr,mcc_8020,0.58,0.8228730822873083,0.8714918759231906,0.7793923381770145,0.6527880061646343,0.888030888030888,0.9126984126984127,0.8646616541353384,0.6624227105506495,0.6654965594606159,0.039737213636694614,0.5945945945945946,0.7317073170731707,193
no_fe,KANSER,stack_gbm,f1_raw,0.35,0.8883405305367057,0.8333333333333334,0.9511228533685601,0.7549780084965017,0.9280575539568345,0.8896551724137931,0.9699248120300752,0.7530288182518229,0.6351267784007926,0.024679552237137352,0.5909090909090909,0.6521739130434783,193
no_fe,KANSER,stack_gbm,f1_8020,0.76,0.8353293413173652,0.9637305699481865,0.7371202113606341,0.719677851637691,0.8685258964143426,0.923728813559322,0.8195488721804511,0.6357876581229663,0.6828487287682333,0.04247749702094974,0.5973109243697479,0.7368421052631579,193
no_fe,KANSER,stack_gbm,mcc_8020,0.79,0.8093023255813954,0.9793621013133208,0.6895640686922061,0.6967691898515876,0.8582995951417004,0.9298245614035088,0.7969924812030075,0.6247130229110383,0.6899708187943482,0.04774258972462779,0.6060606060606061,0.7567567567567568,193
no_fe,PAH,lightgbm,f1_raw,0.4,0.8081431215299199,0.7779097387173397,0.8408215661103979,0.5622442250711734,0.926984126984127,0.9012345679012346,0.954248366013072,0.5054173347354597,0.47464516129032264,0.02989408984565866,0.4,0.5,184
no_fe,PAH,lightgbm,f1_8020,0.72,0.7623762376237624,0.8488188976377953,0.6919127086007703,0.5471926620176247,0.9,0.9183673469387755,0.8823529411764706,0.46248422626170393,0.5140476721346288,0.06028095427967582,0.34833333333333333,0.5714285714285714,184
no_fe,PAH,lightgbm,mcc_8020,0.78,0.7332843497428362,0.8573883161512027,0.6405648267008985,0.5215331569109545,0.8956228956228957,0.9236111111111112,0.869281045751634,0.46682276035664083,0.5260002335828422,0.07441562479429273,0.36331521739130435,0.5925925925925926,184
no_fe,PAH,catboost,f1_raw,0.43,0.8066707844348363,0.7773809523809524,0.8382541720154044,0.5593702345848636,0.925,0.8862275449101796,0.9673202614379085,0.45809806238896317,0.44245168067226887,0.02716590464962516,0.4117647058823529,0.45714285714285713,184
no_fe,PAH,catboost,f1_8020,0.55,0.7941372418387741,0.8254847645429363,0.7650834403080873,0.5709126820047838,0.9090909090909091,0.9032258064516129,0.9150326797385621,0.44289614684798545,0.4732164368404635,0.05059952243529236,0.3099867724867725,0.5161290322580645,184
