col,n,mean,std,mn,mx,q50,miss,nuniq,is_bin,prev,in01,has_neg,skew,lgroup
gnomad4__nhomalt_ami,7026,7.479220039851978,43.71512676803434,0.0,456.0,0.0,0.889289822416211,193,False,,False,False,7.694603545327289,OTHER
gnomad4__af_amr,7026,0.03463679219427761,0.12945124038695047,0.0,0.9999563737893726,0.00038390738093,0.889289822416211,4256,False,,True,False,4.984334020139902,FREQ
gnomad4__an_amr,7026,58650.3512667236,4764.941346157753,4068.0,60038.0,59998.0,0.889289822416211,1277,False,,False,False,-5.321919198965235,FREQ
gnomad4__ac_amr,7026,1991.0637631653858,7497.767851173933,0.0,60006.0,23.0,0.889289822416211,1491,False,,False,False,5.068869570026426,FREQ
gnomad4__nhomalt_amr,7026,521.356390549388,2868.442354833592,0.0,29996.0,0.0,0.889289822416211,665,False,,False,False,7.336041279713888,OTHER
gnomad4__af_asj,7026,0.032187453662380426,0.1255377561479207,0.0,1.0,0.0,0.889289822416211,2145,False,,True,False,5.196746340209053,FREQ
gnomad4__an_asj,7026,29194.292058070027,1713.0794757828091,3132.0,29608.0,29600.0,0.889289822416211,865,False,,False,False,-7.133033892698146,FREQ
gnomad4__ac_asj,7026,928.4554511813265,3634.3108710273796,0.0,29608.0,0.0,0.889289822416211,1204,False,,False,False,5.229734138115803,FREQ
gnomad4__nhomalt_asj,7026,240.89823512667235,1382.1359300017732,0.0,14804.0,0.0,0.889289822416211,540,False,,False,False,7.61934472179174,OTHER
gnomad4__af_eas,7026,0.034986661894830975,0.14028799417029966,0.0,1.0,0.0,0.889289822416211,2013,False,,True,False,4.9312920658416,FREQ
gnomad4__an_eas,7026,44232.08368915457,2764.4069580768055,2668.0,44906.0,44868.0,0.889289822416211,941,False,,False,False,-7.505863611251227,FREQ
gnomad4__ac_eas,7026,1519.9565898092799,6139.780909879288,0.0,44886.0,0.0,0.889289822416211,1072,False,,False,False,5.004709975931172,FREQ
gnomad4__nhomalt_eas,7026,449.8643609450612,2461.302131311682,0.0,22443.0,0.0,0.889289822416211,592,False,,False,False,6.790078114077282,OTHER
gnomad4__af_fin,7026,0.0320171916901252,0.12691311015091802,0.0,1.0,0.0,0.889289822416211,2415,False,,True,False,5.209932112890415,FREQ
gnomad4__an_fin,7026,62729.80614859095,4477.882689865339,7946.0,64052.0,63994.0,0.889289822416211,1438,False,,False,False,-6.034284122319049,FREQ
gnomad4__ac_fin,7026,1979.9672644463421,7879.832481089394,0.0,64038.0,0.0,0.889289822416211,1390,False,,False,False,5.2610681785207785,FREQ
gnomad4__nhomalt_fin,7026,529.2512097922004,3025.320403974878,0.0,32019.0,0.0,0.889289822416211,618,False,,False,False,7.454734055762001,OTHER
gnomad4__af_mid,7026,0.03257783384683711,0.12465005661283479,0.0,1.0,0.0001664724534232,0.889289822416211,2009,False,,True,False,5.196469885184748,FREQ
gnomad4__an_mid,7026,5940.349558781668,443.43297663384635,788.0,6084.0,6060.0,0.889289822416211,600,False,,False,False,-5.314788367685326,FREQ
gnomad4__ac_mid,7026,190.2243097068033,731.5657571325726,0.0,6059.0,1.0,0.889289822416211,811,False,,False,False,5.249912950957949,FREQ
gnomad4__nhomalt_mid,7026,49.408767435240534,278.48930952345495,0.0,3028.0,0.0,0.889289822416211,402,False,,False,False,7.632074612401412,OTHER
gnomad4__af_nfe,7026,0.03165394865554708,0.12510594537008363,0.0,0.9999940651611392,4.40666762709e-05,0.889289822416211,5800,False,,True,False,5.230117110623244,FREQ
gnomad4__an_nfe,7026,1168885.7654426417,58855.890995229536,195592.0,1180062.0,1179882.0,0.889289822416211,2172,False,,False,False,-9.85434184413175,FREQ
gnomad4__ac_nfe,7026,36445.56618274979,144526.32686838065,0.0,1180027.0,51.0,0.889289822416211,2379,False,,False,False,5.278558706704491,FREQ
gnomad4__nhomalt_nfe,7026,9550.81027611728,54893.82569159644,0.0,590007.0,0.0,0.889289822416211,958,False,,False,False,7.617586984089163,OTHER
gnomad4__af_sas,7026,0.03280704307014034,0.12627215298980937,0.0,1.0,5.49028220051e-05,0.889289822416211,3562,False,,True,False,5.134600318942564,FREQ
gnomad4__an_sas,7026,89510.2755479647,6244.238661985523,10316.0,91096.0,91068.0,0.889289822416211,1359,False,,False,False,-6.98633037030822,FREQ
gnomad4__ac_sas,7026,2890.990463990891,11199.583692087204,0.0,91054.0,5.0,0.889289822416211,1530,False,,False,False,5.184173130473993,FREQ
gnomad4__nhomalt_sas,7026,760.9197267292913,4285.817334702664,0.0,45510.0,0.0,0.889289822416211,718,False,,False,False,7.609855979208437,OTHER
gnomad4__af_rem,7026,0.03264948253167467,0.12400875140033198,0.0,0.9998444252376836,0.0006239401017502,0.889289822416211,4436,False,,True,False,5.1742206751021,FREQ
gnomad4__an_rem,7026,61774.13293481355,3185.696855733745,12060.0,62512.0,62484.0,0.889289822416211,1073,False,,False,False,-7.938984716988621,FREQ
gnomad4__ac_rem,7026,1990.0963563905493,7579.43679562665,0.0,62487.0,38.0,0.889289822416211,1558,False,,False,False,5.210725976878924,FREQ
gnomad4__nhomalt_rem,7026,508.4943068602334,2859.6126305187536,0.0,31233.0,0.0,0.889289822416211,661,False,,False,False,7.573226587048504,OTHER
gwas_catalog__or_beta,2797,6.655164149756167,297.7732927319437,0.0014,15745.091,0.1896,0.9559270756188646,2512,False,,False,False,52.81652089298399,OTHER
gwas_catalog__pval,3029,3.070616309648729e-07,1.2863974914147234e-06,0.0,1e-05,5e-13,0.9522714022343728,101,False,,True,False,4.950422372835088,OTHER
gwas_catalog__pmid,3029,35085537.26081215,4103512.2599683963,17660530.0,40883583.0,36477530.0,0.9522714022343728,606,False,,False,False,-0.9971502040039735,OTHER
gwas_catalog__risk_allele_match,3029,0.6658963354242324,0.4717540456708112,0.0,1.0,1.0,0.9522714022343728,2,True,0.6658963354242324,True,False,-0.7034331910881152,OTHER
hg19__pos,63461,75247811.78642,58365007.44832049,93569.0,248651927.0,56902213.0,3.151442572837716e-05,60928,False,,False,False,0.8615592796164397,OTHER
linsight__value,361,0.41103137950138513,0.37612127884721763,0.0380076,0.992024,0.206833,0.994311646156028,322,False,,True,False,0.5519522357350927,CONS_RAW
litvar_full__reference_count,27858,9.018666092325365,139.39966468564936,1.0,21675.0,3.0,0.5610355640294344,212,False,,False,False,136.74856614732116,OTHER
litvar_full__pmids,2257,28537221.33805937,3144217.2419004873,9690563.0,41137676.0,28050010.0,0.5616973669697304,728,False,,False,False,0.15839052375601234,OTHER
lrt__lrt_score,56936,0.09373875983560487,0.21521724153169333,0.0,1.0,9.8e-05,0.10284732836455887,21388,False,,True,False,2.6056872659052357,OTHER
lrt__lrt_converted_rankscore,56936,0.4976673932134326,0.29377445514929423,0.00162,0.8433,0.50451,0.10284732836455887,12261,False,,True,False,-0.12518978472042028,SCORE01
lrt__lrt_omega,56936,4.723679458848532,168.664936582887,0.0,7779.87,0.11395599999999995,0.10284732836455887,30680,False,,False,False,44.54995673067495,OTHER
metalr__score,62304,0.41242889862609144,0.3829296008549368,0.0,1.0,0.2772,0.018262609709594566,9600,False,,True,False,0.3613039275629611,SCORE
metalr__rankscore,62304,0.5651165737352336,0.3769534213581002,0.00011,0.99999,0.6490600000000001,0.018262609709594566,9600,False,,True,False,-0.28282998994768926,SCORE01
metarnn__score,62784,0.3666539227754282,0.43774945513261343,5.220354e-07,0.9970473,0.0292288365,0.010699147534784048,61368,False,,True,False,0.5283537253374787,SCORE
metarnn__rank_score,62784,0.37587677290392457,0.4387808020696384,3e-05,0.99999,0.0105,0.010699147534784048,19214,False,,True,False,0.45656671873652194,SCORE01
